id,sample_id,name,application_label,is_system_app,version_name
299705526,7457836,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705538,7457837,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705570,7457837,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705583,7457838,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705612,7457838,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705625,7457839,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705651,7457839,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705664,7457840,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705690,7457840,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705703,7457841,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705731,7457841,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705744,7457842,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705772,7457842,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705785,7457843,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705813,7457843,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299705863,7457845,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705893,7457845,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706050,7457850,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706105,7457850,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706194,7457854,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706225,7457854,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706306,7457857,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706335,7457857,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706413,7457860,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706455,7457860,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299706686,7457868,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299706714,7457868,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
